name,num_years,year,industry,sector,country,headquarters_state,headquarters_city,market_value_mil,market_value_currency,revenue_mil,revenue_currency,profit_mil,profit_currency,asset_mil,asset_currency,employees,employees_metric
Navistar International Corporation,17,2014,Motor Vehicles & Parts,,USA,IL,,2753.0,USD,10848.0,USD,-898.0,USD,8315.0,USD,,employees
Navistar International Corporation,17,2013,Motor Vehicles & Parts,,USA,IL,,276.96,USD,129.48,USD,-3010.0,USD,91.02,USD,,employees
Navistar International Corporation,17,2012,Motor Vehicles & Parts,,USA,IL,Lisle,,USD,13958.0,USD,,USD,,USD,,employees
New York Life Insurance,9,2023,"Insurance: Life, Health (Mutual)",Financials,USA,NY,New York,,USD,58445.0,USD,1127.0,USD,392126.0,USD,15050.0,employees
New York Life Insurance,9,2022,"Insurance: Life, Health (Mutual)",Financials,USA,NY,New York,,USD,51199.0,USD,277.0,USD,379985.0,USD,14344.0,employees
New York Life Insurance,9,2021,"Insurance: Life, Health (Mutual)",Financials,USA,NY,New York,,USD,46712.0,USD,822.0,USD,359313.0,USD,11506.0,employees
New York Life Insurance Company,19,2014,"Insurance: Life, Health (Mutual)",,USA,NY,,,USD,36026.0,USD,1326.0,USD,236749.0,USD,,employees
New York Life Insurance Company,19,2013,"Insurance: Life, Health (Mutual)",,USA,NY,,,USD,34308.6,USD,1333.2,USD,222724.4,USD,,employees
New York Life Insurance Company,19,2012,"Insurance: Life, Health (Mutual)",,USA,NY,New York,,USD,34393.5,USD,,USD,,USD,,employees
Newell Rubbermaid Inc.,15,2014,"Home Equipment, Furnishings",,USA,GA,,8339.0,USD,5887.0,USD,475.0,USD,6070.0,USD,,employees
Newell Rubbermaid Inc.,15,2013,"Home Equipment, Furnishings",,USA,GA,,74.75,USD,590.27,USD,401.3,USD,62.22,USD,,employees
Newell Rubbermaid Inc.,15,2012,"Home Equipment, Furnishings",,USA,GA,Atlanta,,USD,5923.4,USD,,USD,,USD,,employees
Newmont Mining Corporation,11,2014,"Mining, Crude-Oil Production",,USA,CO,,11561.0,USD,8322.0,USD,-2462.0,USD,24764.0,USD,,employees
Newmont Mining Corporation,11,2013,"Mining, Crude-Oil Production",,USA,CO,,2060.31,USD,98.68,USD,1809.0,USD,296.5,USD,,employees
Newmont Mining Corporation,11,2012,"Mining, Crude-Oil Production",,USA,CO,Greenwood Village,,USD,10358.0,USD,,USD,,USD,,employees
News Corp.,9,2023,"Publishing, Printing",Media,USA,NY,New York,9972.0,USD,10385.0,USD,623.0,USD,17221.0,USD,25500.0,employees
News Corp.,9,2022,"Publishing, Printing",Media,USA,NY,New York,13128.0,USD,9358.0,USD,330.0,USD,16771.0,USD,24000.0,employees
News Corp.,9,2021,"Publishing, Printing",Media,USA,NY,New York,14629.0,USD,9008.0,USD,1269.0,USD,14261.0,USD,23500.0,employees
NiSource Inc.,15,2014,Utilities: Gas and Electric,,USA,IN,,11156.0,USD,5660.0,USD,532.0,USD,22654.0,USD,,employees
NiSource Inc.,15,2013,Utilities: Gas and Electric,,USA,IN,,913.03,USD,510.27,USD,416.1,USD,2184.47,USD,,employees
